설치,날짜,종별,지사,월,요일,활성시즌,anomaly_confidence,총사용량,cv,hourly_std,baseload,night_ratio,day_ratio,peak_hour,ma7_ratio,context_zscore,if_score,ae_score,mp_score,gmm_log_likelihood
Inst_0041,2022-09-01,주택용,Branch_0008,9,3,False,stat_only,2.66,0.5770891,0.06396071,0.0,0.30827063,0.406015,22.0,1.0519773755598207,4.731709,-0.14961083,0.00030613784,0.7961381,63.3883
Inst_0051,2023-07-24,주택용,Branch_0008,7,0,False,low,0.47999996,1.7320508,0.034641013,0.0,0.16666667,0.50000006,7.0,0.9767441888671751,-0.6,-0.031576097,0.0043489584,0.0,51.45612
Inst_0174,2021-09-20,주택용,Branch_0008,9,0,False,high,0.7199999,1.2909949,0.03872984,0.0,0.22222224,0.44444448,3.0,0.8873239519387537,0.0,-0.012827746,0.0013355383,1.292336,48.43562
Inst_0297,2025-08-02,주택용,Branch_0008,8,5,False,high,0.39999998,1.9493592,0.03248932,0.0,0.4,0.4,1.0,0.94594595356524,-0.5,-0.014080805,0.004472035,0.0,51.58098
Inst_0367,2023-07-09,주택용,Branch_0008,7,6,False,high,0.03,2.6457512,0.0033071889,0.0,0.33333334,0.6666667,10.0,0.724137944987711,-1.7249999,-0.013318067,0.0045528244,0.36867267,33.89135
Inst_0433,2021-06-25,주택용,Branch_0008,6,4,False,low,0.24,2.6457512,0.02645751,0.0,0.33333334,0.33333334,8.0,0.9130434782608695,-1.3333327,-0.030678391,0.0047809067,0.0,40.47608
Inst_0461,2025-05-01,주택용,Branch_0008,5,3,False,stat_only,8.400001,1.1313705,0.39597973,0.0,0.39999995,0.39999995,1.0,1.0294117681432895,7.6222224,-0.0190863,0.0012203365,1.0809151,51.01379
Inst_0667,2025-09-23,주택용,Branch_0016,9,1,False,high,0.32,2.236068,0.029814238,0.0,0.25,0.25,7.0,1.1666666666666665,-2.084745,0.002382419,0.0031068865,0.51020217,42.618137
Inst_0702,2021-05-19,주택용,Branch_0019,5,2,False,low,3.35,0.44810933,0.06254859,0.0,0.32238808,0.41492537,20.0,0.9865375856293283,0.6363635,-0.17493017,0.00015317115,1.2007729,74.37558
Inst_0796,2022-05-26,주택용,Branch_0019,5,3,False,stat_only,10.080001,0.9999999,0.42,0.0,0.4166666,0.24999997,1.0,1.0,7.1538486,-0.04609399,0.0013143228,3.591767e-07,44.183342
