설치,날짜,종별,지사,총사용량,primary_type,secondary_types,severity,if_score,ae_score,mp_score,gmm_log_likelihood,context_zscore
Inst_6878,2021-08-13,주택용,Branch_0011,6.7200003,간헐사용형,,0.6992696,0.037695944,0.0016508832,1.1530312,46.863518,14.400003
Inst_5423,2021-03-24,주택용,Branch_0001,6.3500004,간헐사용형,,0.48416194,-0.0358606,0.002889855,0.7069925,55.79812,-0.49221566
Inst_3759,2022-07-30,주택용,Branch_0013,2.52,간헐사용형,,0.568579,-0.0069939964,0.0031704446,0.0,47.171257,2.357143
Inst_1142,2025-03-10,주택용,Branch_0017,28.43,간헐사용형,,0.29125133,-0.10182681,0.00020756446,0.9928106,67.50387,6.335384
Inst_4555,2022-09-16,주택용,Branch_0011,3.36,간헐사용형,패턴이탈형,0.66697496,0.026652724,0.005242813,1.143015,29.523037,4.319998
Inst_2069,2024-08-02,주택용,Branch_0015,2.52,간헐사용형,패턴이탈형,0.5549147,-0.011666539,0.00667364,0.0,17.817677,3.700001
Inst_4555,2023-06-16,주택용,Branch_0011,5.04,간헐사용형,,0.6304775,0.014172321,0.0041284338,8.5743204e-07,34.835358,5.3030286
Inst_6384,2025-05-06,주택용,Branch_0007,12.600001,계절역행형,급증형,0.40705732,-0.062226698,0.00056084053,0.7804694,53.619263,7.4409413
Inst_7260,2025-08-31,업무용,Branch_0007,8.410001,계절역행형,"주말이상형,기저유량이상형",0.4406395,-0.050743196,0.00025019987,0.28294307,53.136196,279.33337
Inst_7585,2025-07-28,업무용,Branch_0003,10.919999,계절역행형,기저유량이상형,0.53084725,-0.019896455,0.0012411264,0.0,48.473606,9.11111
Inst_4127,2021-04-15,주택용,Branch_0002,17.62,계절역행형,,0.3095874,-0.09555675,0.0002494616,0.5679825,61.181747,9.284767
Inst_8268,2024-09-22,공공용,Branch_0010,24.819996,계절역행형,"주말이상형,기저유량이상형",0.5902998,0.00043346785,0.0005731869,1.0159783,54.460464,353.5714
Inst_1669,2024-05-05,주택용,Branch_0006,12.600001,계절역행형,,0.4059265,-0.06261338,0.0007093225,1.0026836,55.14321,10.82292
Inst_6306,2022-09-22,업무용,Branch_0010,5.6,계절역행형,기저유량이상형,0.33454958,-0.08702088,0.00023096932,0.39965135,66.395424,30.11111
Inst_8727,2023-12-16,주택용,Branch_0001,54.82,급증형,기저유량이상형,0.3507821,-0.08147013,9.768072e-05,0.8363049,83.21036,5.7742386
Inst_3046,2022-05-04,업무용,Branch_0008,1.6200002,급증형,기저유량이상형,0.31822503,-0.092603095,0.00039969667,0.19036587,73.13269,17.000002
Inst_4661,2021-01-07,공공용,Branch_0011,5.8000007,급증형,기저유량이상형,0.38453487,-0.0699283,9.3472714e-05,0.21380123,73.8902,18.333334
Inst_1285,2022-11-30,업무용,Branch_0017,15.400001,급증형,기저유량이상형,0.6963029,0.036681477,0.00048701873,0.44445777,59.014492,56.037037
Inst_6479,2023-07-04,공공용,Branch_0008,3.0800004,급증형,기저유량이상형,0.3421752,-0.08441328,0.00034958706,0.23090594,78.95026,101.66669
Inst_3205,2022-06-21,공공용,Branch_0008,1.3499999,급증형,기저유량이상형,0.3650801,-0.076580904,0.0009008535,0.30861002,78.47687,32.75
Inst_7728,2023-06-05,업무용,Branch_0007,2.81,급증형,기저유량이상형,0.46506706,-0.04239014,0.0005134592,0.760118,80.228096,15.529413
Inst_0265,2021-08-31,업무용,Branch_0008,0.09,기저유량이상형,,0.6328896,0.014997162,0.00038203257,1.1482583,138.8608,0.28571448
Inst_6979,2023-09-23,주택용,Branch_0009,5.2100005,기저유량이상형,,0.12169004,-0.15980867,0.00016432104,0.9308658,74.5432,6.661016
Inst_4081,2021-06-09,업무용,Branch_0013,0.18,기저유량이상형,,0.48463908,-0.03569745,0.010844252,0.0,43.941883,0.0
Inst_9171,2025-03-05,업무용,Branch_0009,6.08,기저유량이상형,,0.38490242,-0.06980261,8.9635665e-05,0.609273,79.54769,21.518517
Inst_7843,2022-05-23,업무용,Branch_0007,1.1700001,기저유량이상형,,,,,0.51584756,80.341095,
Inst_0632,2021-01-08,주택용,Branch_0016,42.909996,기저유량이상형,,0.22956014,-0.12292225,2.6267726e-05,0.18815418,105.30175,4.9656405
Inst_8093,2025-08-25,업무용,Branch_0002,1.8900005,기저유량이상형,,0.35631603,-0.07957779,0.00038739343,0.44786784,55.353123,20.000004
Inst_2714,2024-10-26,공공용,Branch_0002,1.4599998,야간이상형,"주말이상형,기저유량이상형",0.563385,-0.00877009,0.0017834083,0.9129335,35.11833,144.99998
Inst_8565,2021-11-24,업무용,Branch_0016,2.5200005,야간이상형,,0.35862258,-0.07878906,0.0002863233,1.1482562,64.11149,2.3157902
Inst_6670,2025-03-17,업무용,Branch_0002,0.36,야간이상형,,0.546248,-0.014630139,0.006013837,0.81790453,46.099735,-0.5324674
Inst_5694,2021-06-24,업무용,Branch_0003,0.27,야간이상형,기저유량이상형,0.68861884,0.03405388,0.008336716,0.0,45.359974,-0.67080754
Inst_2340,2023-05-13,업무용,Branch_0002,0.01,야간이상형,기저유량이상형,0.54818666,-0.013967201,0.0021142324,4.1472904e-06,59.516647,-0.9444444
Inst_7637,2025-05-12,업무용,Branch_0002,0.18,야간이상형,기저유량이상형,0.43674645,-0.05207443,0.010373056,1.0094935,57.083115,0.0
Inst_5446,2021-11-20,주택용,Branch_0001,3.66,야간이상형,간헐사용형,0.56072795,-0.009678674,0.0049175792,0.5338416,47.708897,-0.8181815
Inst_7535,2022-11-07,업무용,Branch_0010,0.0,연속가동형,,,,,1.2312247,,
Inst_6888,2023-11-10,업무용,Branch_0003,0.0,연속가동형,,0.20813958,-0.13024706,,1.1971866,,-1.0
Inst_7056,2023-11-06,업무용,Branch_0003,0.0,연속가동형,,0.19971554,-0.13312767,,1.6340264,,-1.0
Inst_3182,2025-01-11,공공용,Branch_0008,0.0,연속가동형,,0.20738766,-0.13050418,,1.2750025,,-1.0
Inst_9961,2024-12-28,업무용,Branch_0009,0.0,연속가동형,,0.2088006,-0.13002102,,1.1422446,,-1.0
Inst_2676,2024-02-16,공공용,Branch_0002,0.0,연속가동형,,0.21552722,-0.12772083,,1.1943566,,-1.0
Inst_7132,2021-11-12,업무용,Branch_0002,0.0,연속가동형,,0.1933228,-0.13531369,,1.2750025,,-1.0
Inst_7655,2024-11-04,업무용,Branch_0003,0.9100001,장기미사용후급증형,급증형,0.61951405,0.010423342,0.00061219564,0.32365596,73.1395,14.166668
Inst_5333,2021-11-17,공공용,Branch_0001,0.01,장기미사용후급증형,,0.54095113,-0.016441401,9.734693e-05,0.0,73.04319,-0.9787234
Inst_2967,2021-11-08,업무용,Branch_0008,0.09,장기미사용후급증형,,0.64086044,0.017722799,0.0017711933,0.8737219,41.145184,-0.75
Inst_1280,2021-11-01,업무용,Branch_0017,0.09,장기미사용후급증형,,0.63853055,0.016926093,0.00044349208,0.41876313,70.48011,-0.64000005
Inst_8499,2022-11-10,업무용,Branch_0003,65.76002,장기미사용후급증형,"급증형,기저유량이상형",0.82212055,0.0797051,6.693673e-05,0.0,92.623405,1643.0005
Inst_2930,2021-11-02,업무용,Branch_0008,0.01,장기미사용후급증형,,0.63885826,0.017038133,0.00012372984,0.0,66.72456,-0.97368425
Inst_5757,2025-03-10,업무용,Branch_0017,7.3,장기미사용후급증형,"급증형,간헐사용형",0.7695421,0.06172576,0.0006052898,1.357185,64.002014,16.804878
Inst_1174,2023-03-19,공공용,Branch_0017,3.5600007,주말이상형,,0.39855424,-0.06513434,0.00053717365,0.40862107,56.557472,53.76924
Inst_8411,2024-04-28,업무용,Branch_0001,0.0,주말이상형,"기저유량이상형,연속가동형",0.20741116,-0.13049614,,1.1993896,,-1.0
Inst_2373,2025-10-12,업무용,Branch_0002,0.12999998,주말이상형,기저유량이상형,0.40160036,-0.06409271,0.0009854917,1.1482583,49.632122,-0.23529418
Inst_8677,2022-02-13,업무용,Branch_0010,4.9900002,주말이상형,기저유량이상형,,,,0.3123563,73.889145,
Inst_8997,2023-06-04,업무용,Branch_0002,0.81000006,주말이상형,기저유량이상형,0.38495418,-0.06978491,0.001567155,1.2090183,62.308174,5.000001
Inst_7527,2024-11-16,업무용,Branch_0007,2.1600003,주말이상형,,,,,0.44428822,60.206783,
