종별,날짜,true_label,is_true_anomaly,ours_flag,baseline_flag,if_score_eval,ae_score_eval,총사용량
주택용,2022-10-12,normal,0,0,1,-0.14172317,6.881561e-05,2.2900002002716064
주택용,2025-01-09,normal,0,0,0,-0.17155786,6.190873e-05,11.399999618530273
주택용,2024-07-10,normal,0,0,0,-0.10815358,0.00032791728,1.7899998426437378
주택용,2022-11-12,normal,0,1,1,-0.11703211,0.00043133378,15.120001792907715
주택용,2025-06-12,normal,0,0,0,-0.17853217,0.00018511584,2.3000001907348633
주택용,2024-02-05,normal,0,0,1,-0.1717986,0.00011735061,2.2900002002716064
주택용,2023-05-28,normal,0,0,0,-0.06836566,0.0007467931,1.0399998426437378
주택용,2024-05-21,normal,0,0,0,-0.11235079,0.0007053612,1.119999885559082
주택용,2024-04-20,normal,0,0,0,-0.16957581,0.00010464686,2.830000400543213
주택용,2025-02-25,normal,0,0,0,-0.17284887,6.5749125e-05,17.220001220703125
주택용,2023-03-31,normal,0,0,0,-0.1794318,0.00013570035,3.6100003719329834
주택용,2025-10-19,normal,0,0,0,-0.11080447,0.0004581319,2.129999876022339
주택용,2022-02-21,normal,0,0,1,-0.1423216,4.2056883e-05,11.429999351501465
주택용,2021-07-20,normal,0,0,0,-0.0732139,0.0012587745,0.8799998760223389
주택용,2021-05-27,normal,0,1,1,-0.16652967,0.00014040567,3.310000419616699
주택용,2024-05-06,normal,0,0,0,-0.14870656,0.00026096328,3.759999990463257
주택용,2022-11-29,normal,0,0,0,-0.162032,0.00011944805,0.800000011920929
주택용,2024-11-30,normal,0,0,0,-0.17283726,4.4959466e-05,11.249999046325684
주택용,2022-07-22,normal,0,0,1,-0.14490995,0.00048720592,1.6200001239776611
주택용,2023-07-09,normal,0,0,0,-0.15132475,0.000355251,2.6600003242492676
주택용,2022-05-20,normal,0,0,0,-0.17253181,0.00019337384,2.6500003337860107
주택용,2025-09-06,normal,0,0,0,-0.14302649,0.00035220137,1.440000057220459
주택용,2022-12-10,normal,0,0,0,-0.1830338,3.9971976e-05,10.760000228881836
주택용,2023-01-20,normal,0,0,0,-0.18869132,2.2363005e-05,10.809999465942383
주택용,2024-05-04,normal,0,1,0,-0.17344505,7.749601e-05,3.7800004482269287
주택용,2025-07-13,normal,0,0,1,-0.08768175,0.00097058434,0.9599998593330383
주택용,2024-08-13,normal,0,0,0,-0.12404962,0.0006198894,1.2799999713897705
주택용,2022-06-11,normal,0,0,0,-0.16281658,0.00036572086,1.440000057220459
주택용,2025-11-14,normal,0,0,0,-0.17943923,5.2024232e-05,4.610000133514404
주택용,2024-09-08,normal,0,0,0,-0.09256486,0.0006644029,1.119999885559082
주택용,2021-10-30,normal,0,1,1,-0.17568383,0.00012789312,5.429999828338623
주택용,2023-09-16,normal,0,0,0,-0.04678199,0.0012572055,0.7199999094009399
주택용,2023-12-23,normal,0,0,0,-0.16659985,0.00013673314,1.3299996852874756
주택용,2022-03-05,normal,0,0,0,-0.17469603,3.184844e-05,14.430000305175781
주택용,2025-08-08,normal,0,0,0,-0.10583642,0.0006527447,1.0399998426437378
주택용,2023-09-04,normal,0,0,0,-0.06341141,0.0012117786,0.7199999094009399
주택용,2021-07-08,normal,0,0,1,-0.1690532,0.00015217127,1.8500001430511475
