설치,날짜,종별,지사,총사용량,primary_type,secondary_types,severity,if_score,ae_score,mp_score,gmm_log_likelihood,context_zscore
Inst_1125,2023-08-08,주택용,Branch_0010,3.36,간헐사용형,,0.59086424,0.0006264834,0.0027119145,1.2504552e-06,40.38896,3.9557538
Inst_6696,2023-08-26,주택용,Branch_0007,3.36,간헐사용형,패턴이탈형,0.59795374,0.003050756,0.0050357063,0.0,27.966972,4.4081616
Inst_8450,2023-09-30,주택용,Branch_0010,5.88,간헐사용형,,0.5965928,0.00258537,0.0017312613,0.010310002,40.174377,7.1875
Inst_3548,2023-09-15,주택용,Branch_0013,2.52,간헐사용형,,0.6422153,0.018186104,0.0060774027,0.37411,32.093372,2.1016939
Inst_5238,2024-06-03,주택용,Branch_0014,2.52,간헐사용형,,0.58091724,-0.002774904,0.0063252137,0.0,32.059994,2.276924
Inst_5112,2025-10-22,주택용,Branch_0014,1.99,간헐사용형,,0.65885633,0.023876531,0.0030377759,0.74318266,28.274437,0.14843744
Inst_6484,2021-08-19,주택용,Branch_0007,3.36,간헐사용형,,0.7012578,0.03837582,0.0057787024,1.2841697,34.1133,4.07843
Inst_7552,2025-08-13,업무용,Branch_0017,6.93,계절역행형,기저유량이상형,0.4027287,-0.06370688,5.6010074e-05,0.49263012,62.128876,11.833333
Inst_7011,2022-09-16,업무용,Branch_0001,13.69,계절역행형,"급증형,기저유량이상형",0.48547953,-0.03541005,0.00013162712,0.7451395,54.614845,29.42222
Inst_6655,2024-08-28,업무용,Branch_0001,18.27,계절역행형,기저유량이상형,0.5126012,-0.026135728,0.0003845376,0.17566381,58.13974,39.6
Inst_0248,2024-07-08,업무용,Branch_0008,9.11,계절역행형,"급증형,기저유량이상형",0.57678044,-0.0041894875,0.00078480813,0.31861785,32.676514,100.22222
Inst_8340,2024-09-19,공공용,Branch_0010,8.889999,계절역행형,"급증형,기저유량이상형",0.4266337,-0.055532522,0.00078652933,0.60179704,54.92728,13.816665
Inst_5691,2024-09-11,업무용,Branch_0003,11.849999,계절역행형,"급증형,기저유량이상형",0.4504621,-0.047384337,0.00019272177,0.08947487,53.210926,15.458331
