설치,날짜,종별,지사,총사용량,primary_type,secondary_types,severity,if_score,ae_score,mp_score,gmm_log_likelihood,context_zscore
Inst_5563,2025-06-20,주택용,Branch_0001,4.2,간헐사용형,,0.9389356,0.11965023,0.0021131274,0.93561566,7.5135565,3.722221
Inst_5654,2024-11-12,주택용,Branch_0001,15.82,간헐사용형,,0.86285555,0.09363451,0.0027379103,0.498648,43.936172,2.0299249
Inst_4555,2025-09-19,주택용,Branch_0011,4.2,간헐사용형,,0.8527072,0.090164274,0.0032490492,0.0,36.74751,5.999997
Inst_4771,2021-08-22,주택용,Branch_0001,5.88,간헐사용형,,0.8522684,0.09001421,0.0012935511,0.9123998,41.337566,10.250002
Inst_3548,2024-08-23,주택용,Branch_0013,3.36,간헐사용형,패턴이탈형,0.85085374,0.08953045,0.0075608087,0.0,30.195742,5.853655
Inst_4566,2025-08-24,주택용,Branch_0011,3.36,간헐사용형,패턴이탈형,0.84877354,0.088819146,0.00634202,0.0,8.624031,6.0000014
Inst_4329,2024-08-10,주택용,Branch_0002,5.04,간헐사용형,,0.84717387,0.08827212,0.0021109707,2.2302017e-07,37.66404,13.500004
Inst_6715,2021-07-17,주택용,Branch_0006,4.2,간헐사용형,,0.84714115,0.08826096,0.0048713046,0.0,40.08817,8.100001
Inst_5552,2025-09-01,주택용,Branch_0001,4.2,간헐사용형,,0.8444105,0.08732717,0.004168707,0.0,38.024334,5.263154
Inst_4055,2024-05-29,주택용,Branch_0013,3.25,간헐사용형,패턴이탈형,0.84274,0.08675596,0.0052944575,0.8544172,9.271118,0.57499975
Inst_7929,2021-06-12,업무용,Branch_0010,24.66,계절역행형,"급증형,야간이상형,주말이상형,기저유량이상형",1.0,0.14053135,0.0022219357,0.0,41.11749,204.50002
Inst_7597,2022-05-03,업무용,Branch_0007,27.41,계절역행형,"급증형,야간이상형,기저유량이상형",0.9994724,0.14035092,0.0019705815,0.12018386,41.228706,1369.5
Inst_3126,2022-10-23,공공용,Branch_0008,90.52,계절역행형,"급증형,주말이상형,기저유량이상형",0.9913759,0.13758233,0.00012600336,0.51184654,58.250553,9051.0
Inst_8023,2025-09-20,업무용,Branch_0002,27.49,계절역행형,"급증형,야간이상형,주말이상형,기저유량이상형",0.9896366,0.13698757,0.0019588915,0.010815113,41.21215,304.44443
Inst_3128,2022-08-12,공공용,Branch_0008,99.27998,계절역행형,기저유량이상형,0.98404753,0.13507637,0.00010217557,1.1490431,58.694866,3308.333
Inst_7747,2021-08-11,업무용,Branch_0017,24.66,계절역행형,"급증형,야간이상형,기저유량이상형",0.9825583,0.13456714,0.0022219357,0.0127548985,41.11749,44.666664
Inst_7673,2024-06-02,업무용,Branch_0010,27.4,계절역행형,"급증형,야간이상형,주말이상형,기저유량이상형",0.97862995,0.13322383,0.0019720315,0.8504675,41.2261,303.44443
Inst_7930,2022-06-10,업무용,Branch_0010,27.67,계절역행형,"급증형,야간이상형,기저유량이상형",0.9785824,0.13320756,0.001916146,0.066155136,41.24376,101.481476
Inst_1234,2021-07-17,업무용,Branch_0017,8.58,계절역행형,"야간이상형,패턴이탈형,주말이상형,기저유량이상형",0.97843194,0.13315612,0.0029917762,1.5242573,22.65261,94.33333
Inst_7673,2022-05-13,업무용,Branch_0010,32.88,계절역행형,"급증형,야간이상형,기저유량이상형",0.97762394,0.13287982,0.0015622717,0.0,41.42692,410.00003
Inst_7907,2022-04-29,업무용,Branch_0009,3.65,급증형,"기저유량이상형,간헐사용형",0.95633,0.12559831,0.0019129436,1.0829082,25.661638,364.00003
Inst_0223,2024-07-16,업무용,Branch_0008,4.56,급증형,기저유량이상형,0.94359547,0.121243715,0.001538368,1.2551658,48.419933,49.666664
Inst_2611,2024-07-11,공공용,Branch_0002,4.38,급증형,기저유량이상형,0.91228324,0.11053642,0.01854449,0.9035085,44.70606,437.0
Inst_0225,2022-06-15,업무용,Branch_0008,4.55,급증형,기저유량이상형,0.90732956,0.10884249,0.0041696685,1.076745,15.573159,49.555553
Inst_8490,2021-07-16,업무용,Branch_0018,1.1,급증형,기저유량이상형,0.9061264,0.10843107,0.0017612024,0.8428013,33.48175,11.222223
Inst_8610,2024-01-22,업무용,Branch_0009,42.90001,급증형,기저유량이상형,0.9007681,0.1065988,1.6738197e-05,0.22137776,73.57701,88.37502
Inst_5187,2023-01-11,공공용,Branch_0014,17.9,급증형,,0.89324325,0.10402567,0.0036059448,0.020249818,32.125122,10.933109
Inst_3067,2024-05-23,업무용,Branch_0008,1.9200001,급증형,기저유량이상형,0.8907193,0.10316259,0.0014435584,0.2604815,51.256393,20.333332
Inst_2618,2023-05-26,공공용,Branch_0002,4.38,급증형,기저유량이상형,0.8804636,0.09965562,0.003939048,0.84468687,48.682648,108.50001
Inst_8545,2021-07-01,주택용,Branch_0001,5.88,급증형,간헐사용형,0.8750974,0.09782065,0.002168665,0.24762781,27.047615,8.357143
Inst_6056,2022-03-07,공공용,Branch_0006,96.35999,기저유량이상형,,0.91903126,0.11284392,8.5046115e-05,0.31507713,67.12629,223.09302
Inst_1862,2022-01-28,공공용,Branch_0012,62.779984,기저유량이상형,,0.91630536,0.11191181,0.00018999993,0.678605,64.14075,45.503696
Inst_8633,2021-05-14,업무용,Branch_0009,1.7400001,기저유량이상형,,0.9083513,0.10919189,0.0021014884,1.3593291,38.014904,5.0
Inst_2303,2025-02-17,공공용,Branch_0002,55.479996,기저유량이상형,,0.9081091,0.10910907,0.000103029575,0.67790395,63.496555,88.30645
Inst_7557,2023-11-14,공공용,Branch_0009,77.37998,기저유량이상형,,0.8952992,0.104728706,0.00021824478,0.5748967,65.362076,192.45
Inst_6761,2023-11-20,업무용,Branch_0001,31.949999,기저유량이상형,,0.88699543,0.101889186,0.00017196029,0.6019211,68.89284,92.97057
Inst_8610,2023-11-28,업무용,Branch_0009,26.65,기저유량이상형,,0.88580674,0.10148271,2.3169066e-05,0.5205085,73.48113,204.00002
Inst_2870,2025-02-13,업무용,Branch_0008,49.33001,기저유량이상형,,0.87948424,0.09932075,0.00015374103,0.7980359,71.43173,46.4327
Inst_7879,2021-05-13,업무용,Branch_0009,0.91,기저유량이상형,간헐사용형,0.87774354,0.09872548,0.00016456483,1.6244884,50.343063,2.137931
Inst_7878,2023-12-22,업무용,Branch_0009,49.42001,기저유량이상형,,0.87606657,0.09815205,7.228819e-05,0.16442871,73.966415,136.2778
Inst_5645,2025-07-07,업무용,Branch_0001,0.36,야간이상형,"패턴이탈형,기저유량이상형",0.9388423,0.11961836,0.011440716,1.14789,19.306541,-0.33333334
Inst_7977,2021-06-11,주택용,Branch_0008,6.61,야간이상형,"급증형,간헐사용형",0.9321618,0.11733396,0.005673131,0.0,35.94319,11.937497
Inst_9233,2023-09-09,업무용,Branch_0007,3.74,야간이상형,"급증형,주말이상형,기저유량이상형",0.9318729,0.11723515,0.00629398,0.03602842,31.543728,52.428577
Inst_3075,2024-09-15,업무용,Branch_0008,4.76,야간이상형,"급증형,주말이상형,기저유량이상형",0.9184385,0.112641215,0.002746804,0.5971501,26.43556,157.66667
Inst_8542,2021-09-10,주택용,Branch_0016,9.26,야간이상형,"급증형,간헐사용형",0.91145957,0.11025478,0.0038768623,0.2305165,37.629158,13.31034
Inst_3075,2024-08-30,업무용,Branch_0008,3.3999999,야간이상형,"급증형,기저유량이상형",0.9072169,0.10880397,0.002444154,0.42232546,25.48853,47.571426
Inst_9620,2023-09-16,업무용,Branch_0014,2.74,야간이상형,"급증형,패턴이탈형,주말이상형,기저유량이상형,간헐사용형",0.8981572,0.10570599,0.03802422,0.0,20.891003,136.0
Inst_1174,2021-05-08,공공용,Branch_0017,2.77,야간이상형,"급증형,주말이상형,기저유량이상형",0.89761657,0.10552112,0.005926604,0.7270537,34.72218,60.555557
Inst_2659,2021-02-06,공공용,Branch_0002,2.05,야간이상형,"패턴이탈형,주말이상형",0.8974889,0.10547745,0.016034402,1.0440271,28.21725,8.318182
Inst_2720,2023-11-12,공공용,Branch_0002,0.099999994,야간이상형,패턴이탈형,0.88162214,0.1000518,0.0118827475,0.44475394,28.376009,0.4285715
Inst_2656,2023-12-12,공공용,Branch_0002,0.0,연속가동형,,0.52034336,-0.023488278,,0.0,,-1.0675676
Inst_6531,2023-01-25,공공용,Branch_0017,0.0,연속가동형,,0.51919705,-0.02388027,,0.0,,-1.0
Inst_6479,2024-03-18,공공용,Branch_0008,0.0,연속가동형,,0.5146886,-0.025421951,,0.0,,-1.0
Inst_4651,2024-12-05,공공용,Branch_0011,0.0,연속가동형,,0.5140597,-0.025636986,,0.0,,-1.0
Inst_8163,2024-03-18,공공용,Branch_0003,0.0,연속가동형,,0.5125351,-0.026158346,,0.0,,-1.0
Inst_8268,2025-12-11,공공용,Branch_0010,0.0,연속가동형,,0.5124885,-0.026174277,,0.0,,-1.0
